date,open,close,high,low,vol,amount(thousand),amplitude(%),pct_chg(%),change,换手率(%)
2022-06-08,151.73,146.17,156.84,133.88,135801,3828438.61,28.23,79.72,64.84,74.46
2022-06-09,147.14,149.23,156.84,146.28,58852,1768401.09,7.22,2.09,3.06,32.27
2022-06-10,151.12,171.62,172.49,151.1,43211,1392461.17,14.33,15.0,22.39,23.69
2022-06-13,169.85,179.8,183.83,166.02,35770,1241268.94,10.38,4.77,8.18,19.61
2022-06-14,177.23,190.51,195.09,171.38,39462,1411240.37,13.19,5.96,10.71,21.64
2022-06-15,187.96,184.89,190.5,178.8,30195,1102061.14,6.14,-2.95,-5.62,16.56
2022-06-16,184.89,193.98,194.84,183.46,18730,700052.0,6.16,4.92,9.09,10.27
2022-06-17,192.04,193.68,201.63,189.2,17804,690031.95,6.41,-0.15,-0.3,9.76
2022-06-20,193.69,195.1,206.26,190.53,20342,797325.17,8.12,0.73,1.42,11.15
2022-06-21,194.65,200.36,203.27,187.96,14940,581561.84,7.85,2.7,5.26,8.19
2022-06-22,200.2,220.2,234.69,200.2,22168,969242.0,17.21,9.9,19.84,12.15
2022-06-23,220.62,232.86,233.7,219.25,18060,811468.24,6.56,5.75,12.66,9.9
2022-06-24,232.86,231.84,236.31,224.92,11903,542783.73,4.89,-0.44,-1.02,6.53
2022-06-27,234.52,233.88,237.89,223.72,13134,596421.47,6.11,0.88,2.04,7.2
2022-06-28,231.09,224.7,234.67,218.59,17267,768818.5,6.88,-3.93,-9.18,9.47
2022-06-29,221.38,222.15,227.12,213.52,16529,719049.52,6.05,-1.13,-2.55,9.06
2022-06-30,222.64,247.14,247.89,222.64,16986,795743.14,11.37,11.25,24.99,8.98
2022-07-01,244.74,260.1,261.94,244.74,12308,621148.0,6.96,5.24,12.96,6.5
2022-07-04,255.87,277.23,286.39,255.87,12487,678611.68,11.73,6.59,17.13,6.6
2022-07-05,278.93,274.95,283.88,266.03,14565,786952.64,6.44,-0.82,-2.28,7.7
2022-07-06,271.01,277.48,280.24,271.01,5829,317313.42,3.36,0.92,2.53,3.08
2022-07-07,277.76,305.31,321.9,277.24,14546,864219.97,16.09,10.03,27.83,7.69
2022-07-08,308.44,271.12,308.57,266.02,21791,1221446.75,13.94,-11.2,-34.19,11.52
2022-07-11,272.27,281.44,287.44,267.55,15760,858940.44,7.34,3.81,10.32,8.33
2022-07-12,278.67,258.91,282.86,253.88,23295,1211941.99,10.3,-8.01,-22.53,12.31
2022-07-13,260.92,268.47,279.91,260.92,14747,785645.69,7.33,3.69,9.56,7.79
2022-07-14,264.33,275.97,282.83,262.89,12634,684887.88,7.43,2.79,7.5,6.68
2022-07-15,276.63,286.48,297.16,272.14,11206,634028.26,9.07,3.81,10.51,5.92
2022-07-18,290.51,278.77,293.06,273.72,9885,548473.28,6.75,-2.69,-7.71,5.22
2022-07-19,278.77,278.52,288.37,275.37,7465,412516.06,4.66,-0.09,-0.25,3.94
2022-07-20,281.33,282.86,288.37,271.12,8119,448935.83,6.19,1.56,4.34,4.29
2022-07-21,283.98,269.55,285.05,269.47,9325,507985.47,5.51,-4.71,-13.31,4.93
2022-07-22,269.08,265.0,272.15,260.92,6920,362154.83,4.17,-1.69,-4.55,3.66
2022-07-25,263.24,259.91,270.61,255.31,6525,336975.44,5.77,-1.92,-5.09,3.45
2022-07-26,259.39,275.82,278.66,259.39,8489,457806.46,7.41,6.12,15.91,4.49
2022-07-27,276.65,293.98,296.63,276.12,12036,680153.2,7.44,6.58,18.16,6.36
2022-07-28,303.78,298.67,304.29,287.96,9495,560052.44,5.55,1.6,4.69,5.02
2022-07-29,305.31,305.31,322.14,304.85,10292,632773.73,5.79,2.22,6.64,5.44
2022-08-01,304.29,306.94,310.41,296.33,6904,415139.61,4.61,0.53,1.63,3.65
2022-08-02,301.19,306.1,313.61,297.16,7463,449616.37,5.36,-0.27,-0.84,3.94
2022-08-03,308.37,295.55,313.92,294.08,8276,491857.66,6.48,-3.45,-10.55,4.37
2022-08-04,297.07,296.32,303.27,292.69,4991,292947.6,3.58,0.26,0.77,2.64
2022-08-05,298.16,287.96,299.69,278.94,7624,432271.02,7.0,-2.82,-8.36,4.03
2022-08-08,287.46,289.36,290.96,272.14,5441,304465.81,6.54,0.49,1.4,2.88
2022-08-09,288.46,284.64,298.5,282.98,6409,365954.98,5.36,-1.63,-4.72,3.39
2022-08-10,284.29,300.14,300.2,279.3,6576,379152.22,7.34,5.45,15.5,3.48
2022-08-11,299.73,282.86,302.09,274.18,9871,550899.5,9.3,-5.76,-17.28,5.22
2022-08-12,280.39,270.1,283.8,267.55,6709,361231.03,5.74,-4.51,-12.76,3.55
2022-08-15,270.1,273.67,280.3,268.14,6454,350364.49,4.5,1.32,3.57,3.41
2022-08-16,273.67,303.26,313.19,273.67,12757,755365.95,14.44,10.81,29.59,6.74
2022-08-17,301.55,301.73,311.68,298.24,5296,317106.63,4.43,-0.5,-1.53,2.8
2022-08-18,305.31,339.95,343.36,305.31,10612,684484.92,12.61,12.67,38.22,5.61
2022-08-19,336.56,342.04,346.82,334.9,9355,627291.96,3.51,0.61,2.09,4.94
2022-08-22,338.97,340.74,343.85,323.78,6589,433800.19,5.87,-0.38,-1.3,3.48
2022-08-23,335.53,359.39,361.71,335.53,6203,430787.51,7.68,5.47,18.65,3.28
2022-08-24,355.82,351.61,365.51,345.1,6001,420327.32,5.68,-2.16,-7.78,3.17
2022-08-25,352.76,338.98,353.27,322.13,9753,645158.31,8.86,-3.59,-12.63,5.15
2022-08-26,341.58,342.6,362.9,341.58,8077,558389.88,6.29,1.07,3.62,4.27
2022-08-29,334.9,368.83,368.83,332.65,7814,554447.63,10.56,7.66,26.23,4.13
2022-08-30,360.95,354.29,360.95,331.33,8158,554702.56,8.03,-3.94,-14.54,4.31
2022-08-31,343.57,325.96,349.63,322.14,9501,621174.83,7.76,-8.0,-28.33,5.02
2022-09-01,328.78,329.23,337.45,323.43,4604,299580.24,4.3,1.0,3.27,2.43
2022-09-02,332.09,313.75,332.09,306.33,7358,455788.06,7.82,-4.7,-15.48,3.89
2022-09-05,309.46,330.61,333.88,308.9,7722,498530.98,7.96,5.37,16.86,4.08
2022-09-06,333.77,349.49,350.71,327.26,7631,514425.74,7.09,5.71,18.88,4.03
2022-09-07,344.08,355.31,367.55,344.08,6571,460814.43,6.72,1.67,5.82,3.47
2022-09-08,355.74,354.81,363.13,349.22,4520,317807.55,3.91,-0.14,-0.5,2.39
2022-09-09,353.78,347.14,357.86,338.77,5786,392919.27,5.38,-2.16,-7.67,3.06
2022-09-13,345.7,345.33,349.65,335.0,4795,322440.12,4.22,-0.52,-1.81,2.53
2022-09-14,340.47,337.59,349.03,333.88,3781,253226.9,4.39,-2.24,-7.74,2.0
2022-09-15,338.97,297.76,343.45,292.05,12712,764533.68,15.23,-11.8,-39.83,6.72
2022-09-16,297.65,293.06,306.84,291.55,6044,356243.72,5.14,-1.58,-4.7,3.19
2022-09-19,288.47,301.46,316.02,288.01,6313,379295.45,9.56,2.87,8.4,3.34
2022-09-20,303.86,311.16,321.18,303.86,5626,347952.13,5.75,3.22,9.7,2.97
2022-09-21,310.81,299.8,313.09,299.69,3715,223690.77,4.31,-3.65,-11.36,1.96
2022-09-22,299.13,318.26,318.72,291.53,5217,320690.43,9.07,6.16,18.46,2.76
2022-09-23,314.38,314.49,324.63,306.28,5578,344776.72,5.77,-1.18,-3.77,2.95
2022-09-26,312.86,338.98,344.38,308.38,6598,435556.07,11.45,7.79,24.49,3.49
2022-09-27,338.95,326.59,343.55,320.87,6716,435786.19,6.69,-3.66,-12.39,3.55
2022-09-28,327.3,325.17,336.43,319.08,3907,251777.67,5.31,-0.43,-1.42,2.06
2022-09-29,327.24,323.67,330.47,313.46,4286,270987.52,5.23,-0.46,-1.5,2.27
2022-09-30,319.48,312.8,322.65,306.89,3419,210517.74,4.87,-3.36,-10.87,1.81
2022-10-10,312.8,297.86,312.8,294.6,5696,337334.74,5.82,-4.78,-14.94,3.01
2022-10-11,299.17,284.9,304.85,279.29,5973,342716.34,8.58,-4.35,-12.96,3.16
2022-10-12,284.39,267.3,286.05,243.23,14156,725107.0,15.03,-6.18,-17.6,7.48
2022-10-13,257.86,272.13,281.84,254.29,7563,408566.77,10.31,1.81,4.83,4.0
2022-10-14,278.2,271.63,283.11,263.98,8059,435813.81,7.03,-0.18,-0.5,4.26
2022-10-17,270.61,254.8,273.56,243.62,11733,586837.79,11.02,-6.2,-16.83,6.2
2022-10-18,256.84,258.77,262.21,249.13,8112,410406.26,5.13,1.56,3.97,4.29
2022-10-19,256.07,244.58,258.26,240.52,10106,494192.26,6.86,-5.48,-14.19,5.34
2022-10-20,241.85,231.66,244.08,227.77,12565,580867.6,6.67,-5.28,-12.92,6.64
2022-10-21,227.76,244.76,245.61,225.46,9380,444508.15,8.7,5.65,13.1,4.96
2022-10-24,243.06,243.64,254.29,241.79,6465,316208.76,5.11,-0.46,-1.12,3.42
2022-10-25,241.21,267.04,267.55,239.46,11798,602299.39,11.53,9.6,23.4,6.24
2022-10-26,263.47,264.54,270.61,260.35,9022,473166.35,3.84,-0.94,-2.5,4.77
2022-10-27,270.29,250.05,277.76,248.15,8731,449230.45,11.19,-5.48,-14.49,4.61
2022-10-28,243.07,249.66,260.92,243.07,7283,362527.25,7.14,-0.16,-0.39,3.85
2022-10-31,247.68,237.44,251.22,233.09,10369,490404.05,7.26,-4.89,-12.22,5.48
2022-11-01,235.59,240.53,246.07,235.48,7420,352108.24,4.46,1.3,3.09,3.92
2022-11-02,238.54,247.82,255.26,232.72,10539,505694.77,9.37,3.03,7.29,5.57
2022-11-03,252.43,295.61,297.74,252.43,21971,1232242.26,18.28,19.28,47.79,11.61
2022-11-04,300.2,313.99,315.51,291.17,13127,788127.5,8.23,6.22,18.38,6.94
2022-11-07,308.42,318.04,327.07,307.86,10706,674734.2,6.12,1.29,4.05,5.66
2022-11-08,318.04,305.82,318.97,298.93,8135,488796.85,6.3,-3.84,-12.22,4.3
2022-11-09,304.8,308.88,313.47,301.47,6881,415492.18,3.92,1.0,3.06,3.64
2022-11-10,305.74,301.84,314.84,300.2,7082,426939.03,4.74,-2.28,-7.04,3.74
2022-11-11,311.94,311.43,322.14,305.87,8233,506841.43,5.39,3.18,9.59,4.35
2022-11-14,304.8,297.14,306.84,289.04,9521,556808.48,5.72,-4.59,-14.29,5.03
2022-11-15,294.46,309.33,310.24,294.23,6289,377637.04,5.39,4.1,12.19,3.32
2022-11-16,311.04,308.88,312.47,292.42,4928,295564.59,6.48,-0.15,-0.45,2.6
2022-11-17,305.72,301.72,310.41,294.14,5731,340895.99,5.27,-2.32,-7.16,3.03
2022-11-18,299.17,307.3,313.91,297.65,4241,257957.47,5.39,1.85,5.58,2.24
2022-11-21,301.74,311.41,313.32,300.21,3039,184910.86,4.27,1.34,4.11,1.61
2022-11-22,308.42,306.32,311.99,299.18,4695,283407.84,4.11,-1.63,-5.09,2.48
2022-11-23,306.84,336.43,336.43,301.22,10007,636732.3,11.49,9.83,30.11,5.29
2022-11-24,333.27,339.08,345.1,328.27,5405,360214.16,5.0,0.79,2.65,2.86
2022-11-25,333.62,326.22,337.96,318.46,5687,363259.57,5.75,-3.79,-12.86,3.01
